"y" "c" "x"
1 "c1" 1.764052345967664
0 "c3" 0.9787379841057392
0 "c2" 1.8675579901499675
0 "c1" 0.9500884175255894
1 "c3" -0.10321885179355784
1 "c2" 0.144043571160878
0 "c1" 0.7610377251469934
0 "c3" 0.44386323274542566
0 "c2" 1.4940790731576061
1 "c1" 0.31306770165090136
0 "c3" -2.5529898158340787
0 "c2" 0.8644361988595057
1 "c1" 2.2697546239876076
1 "c3" 0.04575851730144607
1 "c2" 1.5327792143584575
1 "c1" 0.1549474256969163
1 "c3" -0.8877857476301128
0 "c2" -0.3479121493261526
0 "c1" 1.2302906807277207
0 "c3" -0.3873268174079523
0 "c2" -1.0485529650670926
0 "c1" -1.7062701906250126
0 "c3" -0.5096521817516535
0 "c2" -1.2527953600499262
0 "c1" -1.6138978475579515
0 "c3" -0.8954665611936756
